LOC,YEAR,YearCode,Harvest,ENT,Entry,Row,Range,Block,Serpentine,treatment,Alfalfa_WinterSurvival,Alfalfa_SpringStandCount,Alfalfa_SpringVigor,Alfalfa_SpringMaturity,SpringDiseaseIncidence,SpringDiseaseSeverity,Alfalfa_SpringHeight,IWG_SpringHeight,Alfalfa_SummerMaturity,Alfalfa_SummerStandCount,Alfalfa_SummerHeight,IWG_SummerHeight,Lodging,SummerDiseaseIncidence,SummerDiseaseSeverity,Alfalfa_Summer_Biomass(g),Weed_SummerBiomass(g),IWG_SummerBiomass(g),Grain_SummerBiomass(g) ,Grain_SummerThreshed(g),SummerPostHarvestStandCount,SummerPostHarvestVigor,Alfalfa_FallStandCount,IWG_FallStandCount,Alfalfa_FallMaturity,Alfalfa_FallHeight,IWG_FallHeight,Alfalfa_FallBiomass(g),Weed_FallBiomass(g),IWG_FallBiomass(g)
NY_MG2,2024,A,Fall,7,IWAF-L-WI1,31,2,2,122,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,60,,3.75,8.75,,,
NY_MG2,2024,A,Fall,14,AVC9,31,3,3,123,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4.25,8.5,,,
NY_MG2,2024,A,Fall,23,UMN #4353,31,4,4,124,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,80,,4.25,9,,,
NY_MG2,2024,A,Fall,25,UMN #5555,32,4,4,125,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4.25,7.75,,,
NY_MG2,2024,A,Fall,1,IWAF-L-Base,32,3,3,126,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,40,,4,9.25,,,
NY_MG2,2024,A,Fall,12,AVC7,32,2,2,127,intercrop,,,,,,,,,,,,,,,,,,,,,,,100,50,,4,9.25,,,
NY_MG2,2024,A,Fall,10,AVC6,32,1,1,128,intercrop,,,,,,,,,,,,,,,,,,,,,,,95,50,,5.25,9.25,,,
NY_MG2,2025,B,Spring,7,IWAF-L-WI1,1,1,1,1,monoculture,1,100,3,2,10,1,69.6,65.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,11,AVC2,1,2,2,2,intercrop,1.2,95,4,3,20,1,69,79.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,13,AVC3,1,3,3,3,intercrop,1.2,90,2,3,5,1,70,72.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,29,NY1713,1,4,4,4,intercrop,1.2,95,4,3,20,2,67,72.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,19,INTALF20,2,4,4,5,intercrop,1.4,95,3,2,15,2,65.8,74,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,26,UMN #5560,2,3,3,6,intercrop,1,95,3,3,15,2,66,74.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,5,IWAF-L-MN1,2,2,2,7,intercrop,1.4,100,5,3,10,3,69.6,76.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,18,AVC14,2,1,1,8,intercrop,1,95,4,3,20,1,60,61.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,6,IWAF-H-MN1,3,1,1,9,intercrop,1.6,85,2,2,5,1,67,73.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,26,UMN #5560,3,2,2,10,monoculture,1.2,90,2,2,0,0,59.8,70.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,27,UMN #5561,3,3,3,11,intercrop,1.4,80,3,2,15,3,65.6,72.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,21,IAFAL-C3,3,4,4,12,intercrop,1,80,2,2,10,1,66.6,68.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,22,UMN #4352,4,4,4,13,intercrop,1.4,90,4,2,10,2,65.8,74.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,7,IWAF-L-WI1,4,3,3,14,monoculture,1.4,95,5,3,15,1,70.8,71,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,29,NY1713,4,2,2,15,intercrop,1,95,4,2,5,1,63.8,78.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,9,AVC1,4,1,1,16,intercrop,1.2,100,5,3,10,1,71.6,78,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,16,AVC11,5,1,1,17,intercrop,1.2,95,4,2,5,1,67.8,73.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,27,UMN #5561,5,2,2,18,intercrop,1.4,90,3,2,5,1,67.8,77.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,8,IWAF-H-WI1,5,3,3,19,intercrop,1,95,3,2,15,1,61.6,75.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,24,UMN #5553,5,4,4,20,intercrop,1.6,95,4,2,15,1,53.8,69.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,6,IWAF-H-MN1,6,4,4,21,intercrop,1,100,4,3,20,1,71.4,75,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,28,NY19-45,6,3,3,22,intercrop,2.2,80,1,2,5,1,60,76.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,9,AVC1,6,2,2,23,intercrop,1.6,95,3,3,5,1,68.6,79.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,6,IWAF-H-MN1,6,1,1,24,monoculture,1,100,4,2,15,2,67.8,67.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,17,AVC5,7,1,1,25,intercrop,1.4,95,5,3,5,1,70.8,78.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,27,UMN #5561,7,2,2,26,monoculture,2,95,1,2,10,1,61,59.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,10,AVC6,7,3,3,27,intercrop,1.8,90,1,2,0,0,63,77.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,27,UMN #5561,7,4,4,28,intercrop,1.4,90,2,2,10,1,63.6,70.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,8,IWAF-H-WI1,8,4,4,29,intercrop,1.2,100,5,2,20,1,72.4,68.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,21,IAFAL-C3,8,3,3,30,intercrop,1.8,95,2,2,0,0,63.4,75,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,5,IWAF-L-MN1,8,2,2,31,monoculture,1,95,4,2,10,1,64.8,59.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,26,UMN #5560,8,1,1,32,intercrop,1.2,100,3,3,10,1,71,75.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,28,NY19-45,9,1,1,33,intercrop,1,100,2,3,15,1,65.6,80.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,23,UMN #4353,9,2,2,34,intercrop,1.2,95,1,3,10,1,66.4,75.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,2,IWAF-H-Base,9,3,3,35,intercrop,1,100,1,3,5,1,64.4,73.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,5,IWAF-L-MN1,9,4,4,36,monoculture,1,90,4,2,15,2,65.8,61.4,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,1,IWAF-L-Base,10,4,4,37,intercrop,1,100,5,3,20,1,72.2,69.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,5,IWAF-L-MN1,10,3,3,38,intercrop,1.2,85,3,3,0,0,66.2,74.2,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,24,UMN #5553,10,2,2,39,intercrop,1.2,90,3,3,5,1,66.4,77,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,14,AVC9,10,1,1,40,intercrop,1,100,5,3,5,1,78.6,77.8,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,29,NY1713,11,1,1,41,intercrop,1.2,100,5,2,5,1,66.8,77.6,,,,,,,,,,,,,,,,,,,,,,
NY_MG2,2025,B,Spring,6,IWAF-H-MN1,11,2,2,42,intercrop,1.2,95,4,2,0,0,69.4,75.8,,,,,,,,,,,,,,,,,,,,,,
