ENT_COMB,ENT,Entry,Row,Range,Block,Serpentine,treatment,Fall Alfalfa Stand Count,Fall IWG Stand Count,Fall Alfalfa Height,Fall IWG Height,Alfalfa winter survival,Spring Alfalfa stand count,Spring Alfalfa vigor,Spring Alfalfa maturity,Spring disease incidence,Spring disease severity,Spring Alfalfa height,Spring IWG height
9 AVC1,9,AVC1,11,4,4,44,intercrop,32,43,6.75,8.25,1,100,5,3,10,1,66.2,71.6
3 IWAF-L-KS1,3,IWAF-L-KS1,12,4,4,45,intercrop,24,39,5.75,9,1.2,100,5,3,20,1,68,67.8
23 UMN #4353,23,UMN #4353,12,3,3,46,intercrop,11,38,3.75,8.75,1.4,90,4,2,15,1,66.6,76.4
25 UMN #5555,25,UMN #5555,12,2,2,47,intercrop,20,48,4.5,8.75,1,95,4,3,0,0,66.8,76.6
3 IWAF-L-KS1,3,IWAF-L-KS1,12,1,1,48,monoculture,22,23,5.25,3.75,1,100,4,3,5,1,78,72.2
24 UMN #5553,24,UMN #5553,13,1,1,49,intercrop,34,51,4.75,9,1.2,100,5,3,20,2,72.2,76
22 UMN #4352,22,UMN #4352,13,2,2,50,intercrop,14,40,2.5,8,1.6,90,2,3,5,1,65.6,75.4
3 IWAF-L-KS1,3,IWAF-L-KS1,13,3,3,51,monoculture,22,12,3.75,2.75,1,95,3,2,10,1,67.2,66.6
26 UMN #5560,26,UMN #5560,13,4,4,52,intercrop,29,44,4.5,9.25,1.4,95,2,3,20,1,72.2,67.6
5 IWAF-L-MN1,5,IWAF-L-MN1,14,4,4,53,intercrop,28,27,5.5,9,1,100,5,3,20,1,73.8,69.6
19 INTALF20,19,INTALF20,14,3,3,54,intercrop,20,36,3.75,8.5,1.6,90,3,2,0,0,68.2,73.8
2 IWAF-H-Base,2,IWAF-H-Base,14,2,2,55,intercrop,24,24,3.75,9,1.2,95,3,3,0,0,69.4,74
1 IWAF-L-Base,1,IWAF-L-Base,14,1,1,56,intercrop,22,46,5,8.5,1,100,4,3,5,1,74.6,77.8
20 Larry15,20,Larry15,15,1,1,57,monoculture,11,45,3,5,1.2,95,3,2,0,0,74.2,68.6
19 INTALF20,19,INTALF20,15,2,2,58,intercrop,26,59,4.5,8.5,1.2,100,2,3,0,0,68,76.2
9 AVC1,9,AVC1,15,3,3,59,intercrop,38,43,4.5,9.25,1,100,2,2,10,2,67,73.2
27 UMN #5561,27,UMN #5561,15,4,4,60,monoculture,21,45,4.5,4.75,1.4,95,1,3,20,1,65.6,66.4
8 IWAF-H-WI1,8,IWAF-H-WI1,16,4,4,61,monoculture,35,38,4.25,4.25,1,95,3,3,5,1,68.8,63.6
3 IWAF-L-KS1,3,IWAF-L-KS1,16,3,3,62,intercrop,24,51,3.75,8.5,1,95,2,2,0,0,67,76.8
17 AVC5,17,AVC5,16,2,2,63,intercrop,29,49,4.5,9.5,1,100,3,3,5,1,72,83.2
8 IWAF-H-WI1,8,IWAF-H-WI1,16,1,1,64,intercrop,19,57,4.25,10,1.2,95,4,3,10,1,76.2,78.2
25 UMN #5555,25,UMN #5555,17,1,1,65,intercrop,19,55,5,8.25,1.4,90,2,3,5,1,69.4,74.6
8 IWAF-H-WI1,8,IWAF-H-WI1,17,2,2,66,intercrop,17,60,3.5,8.25,1.2,100,2,2,0,0,66,77.6
18 AVC14,18,AVC14,17,3,3,67,intercrop,26,39,3.75,8.5,1.4,90,2,2,0,0,64.4,76.6
20 Larry15,20,Larry15,17,4,4,68,intercrop,15,39,3.25,7.75,1.2,90,1,2,5,1,68.4,75.4
14 AVC9,14,AVC9,18,4,4,69,intercrop,25,32,4.75,8.5,1.2,100,4,3,0,0,73.4,74.4
12 AVC7,12,AVC7,18,3,3,70,intercrop,24,45,3.5,9,1.4,95,2,3,5,2,69.6,76
14 AVC9,14,AVC9,18,2,2,71,intercrop,26,39,4.25,7.75,1,95,2,2,0,0,69.2,79
27 UMN #5561,27,UMN #5561,18,1,1,72,intercrop,17,38,4,9.25,1,95,1,2,5,1,69,72
22 UMN #4352,22,UMN #4352,19,1,1,73,intercrop,14,48,3.75,8.5,1.2,100,2,2,0,0,65.4,77
26 UMN #5560,26,UMN #5560,19,2,2,74,intercrop,25,43,4.5,8.25,1.2,95,2,3,5,1,61.6,79.8
7 IWAF-L-WI1,7,IWAF-L-WI1,19,3,3,75,intercrop,17,52,3,6.5,2,95,2,2,0,0,65.8,74.6
2 IWAF-H-Base,2,IWAF-H-Base,19,4,4,76,intercrop,25,33,4.25,8.5,1,100,2,3,0,0,67,75.8
15 AVC4,15,AVC4,20,4,4,77,intercrop,28,24,5.25,9,1.2,100,3,3,0,0,71,73.6
20 Larry15,20,Larry15,20,3,3,78,monoculture,14,38,2.25,3.25,1.4,90,1,2,0,0,62.2,56.6
8 IWAF-H-WI1,8,IWAF-H-WI1,20,2,2,79,monoculture,19,31,3.25,3.75,1.4,100,1,2,5,1,63.4,64
23 UMN #4353,23,UMN #4353,20,1,1,80,intercrop,15,50,4,9.75,1.2,95,3,2,5,1,69.2,72.6
7 IWAF-L-WI1,7,IWAF-L-WI1,21,1,1,81,intercrop,17,46,5,9.5,1,95,1,2,5,1,64.8,74
10 AVC6,10,AVC6,21,2,2,82,intercrop,15,41,4.25,8.75,1,90,2,2,5,1,60.6,78.8
16 AVC11,16,AVC11,21,3,3,83,intercrop,24,51,4,8,1.4,100,1,2,0,0,62.4,78.8
13 AVC3,13,AVC3,21,4,4,84,intercrop,22,33,3.75,8.25,1,95,4,3,0,0,73.2,77.4
7 IWAF-L-WI1,7,IWAF-L-WI1,22,4,4,85,intercrop,18,26,3.25,9,1.2,95,3,3,0,0,71.8,77
20 Larry15,20,Larry15,22,3,3,86,intercrop,17,32,2.5,8.75,2,90,1,2,0,0,63.6,79.8
13 AVC3,13,AVC3,22,2,2,87,intercrop,25,48,5,9.5,1,100,3,2,5,1,63,79.2
15 AVC4,15,AVC4,22,1,1,88,intercrop,20,40,4.75,9.75,1,100,5,3,10,1,65.4,74.4
2 IWAF-H-Base,2,IWAF-H-Base,23,1,1,89,intercrop,26,45,4.75,9.5,1,100,4,3,15,1,62.8,76.6
3 IWAF-L-KS1,3,IWAF-L-KS1,23,2,2,90,intercrop,23,31,5,9,1,100,4,3,15,1,65.6,81.4
15 AVC4,15,AVC4,23,3,3,91,intercrop,22,39,4.25,9.5,1.8,95,2,2,0,0,61.8,76.6
10 AVC6,10,AVC6,23,4,4,92,intercrop,14,44,3.75,8.25,1.2,85,2,2,0,0,62,77.4
18 AVC14,18,AVC14,24,4,4,93,intercrop,23,28,3.75,8.25,1.2,100,4,3,0,0,71.4,78.8
17 AVC5,17,AVC5,24,3,3,94,intercrop,28,28,3.5,9.5,1.4,100,1,2,5,1,67.2,74
28 NY19-45,28,NY19-45,24,2,2,95,intercrop,27,24,4.25,8.5,1.2,100,4,2,5,2,62.4,76.8
21 IAFAL-C3,21,IAFAL-C3,24,1,1,96,intercrop,13,39,3,9.25,1.6,95,1,2,0,0,63.2,76.4
19 INTALF20,19,INTALF20,25,1,1,97,intercrop,12,45,5.25,9.5,1,95,4,3,5,1,69,75
18 AVC14,18,AVC14,25,2,2,98,intercrop,21,35,5.5,8.5,1,100,4,3,5,1,66.6,78.6
6 IWAF-H-MN1,6,IWAF-H-MN1,25,3,3,99,intercrop,34,45,4,8.25,1.2,100,3,2,5,2,62.4,77
17 AVC5,17,AVC5,25,4,4,100,intercrop,25,37,3.75,8.75,1.2,95,3,3,5,1,64.6,71.2
26 UMN #5560,26,UMN #5560,26,4,4,101,monoculture,28,33,4.75,3.75,1.2,100,3,3,0,0,73.2,61.6
22 UMN #4352,22,UMN #4352,26,3,3,102,intercrop,12,41,2.75,9.25,1.6,90,2,2,5,1,68.4,80.2
15 AVC4,15,AVC4,26,2,2,103,intercrop,18,29,4.75,9.5,1,100,3,2,0,0,67.4,79.8
3 IWAF-L-KS1,3,IWAF-L-KS1,26,1,1,104,intercrop,19,41,5,10,1,100,5,2,0,0,72.2,78.6
13 AVC3,13,AVC3,27,1,1,105,intercrop,19,40,4.75,10.5,1,95,4,3,10,1,70,77.4
1 IWAF-L-Base,1,IWAF-L-Base,27,2,2,106,intercrop,24,48,4.5,8.5,1,100,2,2,5,1,64,78
11 AVC2,11,AVC2,27,3,3,107,intercrop,28,47,5.25,8.25,1.2,95,2,3,0,0,70,75.4
16 AVC11,16,AVC11,27,4,4,108,intercrop,20,43,4.25,8.25,1.2,90,2,2,0,0,64.8,73.2
28 NY19-45,28,NY19-45,28,4,4,109,intercrop,22,37,4,8.25,1.6,95,2,2,5,1,61.4,65.8
24 UMN #5553,24,UMN #5553,28,3,3,110,intercrop,21,29,4.5,9.25,1,100,5,3,10,1,68.8,79
16 AVC11,16,AVC11,28,2,2,111,intercrop,15,37,5,9.25,1,95,3,2,0,0,62,78
20 Larry15,20,Larry15,28,1,1,112,intercrop,13,41,3.75,10,1.4,95,2,2,0,0,66,76.6
11 AVC2,11,AVC2,29,1,1,113,intercrop,43,48,6,9.25,1.2,100,5,2,15,1,71,78.4
20 Larry15,20,Larry15,29,2,2,114,intercrop,14,43,2.75,8.5,1.2,95,3,3,0,0,63.8,75
6 IWAF-H-MN1,6,IWAF-H-MN1,29,3,3,115,monoculture,24,39,4,4.25,1,95,4,3,15,1,62,64.4
12 AVC7,12,AVC7,29,4,4,116,intercrop,15,47,3.75,9,1.6,95,3,3,5,1,66,75.8
11 AVC2,11,AVC2,30,4,4,117,intercrop,26,42,4.5,9.25,1,100,3,2,0,0,65.2,77
29 NY1713,29,NY1713,30,3,3,118,intercrop,24,28,4,9.25,1,100,2,2,5,1,76,81.4
21 IAFAL-C3,21,IAFAL-C3,30,2,2,119,intercrop,20,31,3,8.5,1.6,90,1,2,0,0,59.6,75.4
12 AVC7,12,AVC7,30,1,1,120,intercrop,19,34,5.25,10,1.4,95,4,2,5,1,69.2,74.6
5 IWAF-L-MN1,5,IWAF-L-MN1,31,1,1,121,intercrop,20,54,5.5,8.25,1,100,5,3,10,1,65.8,75.2
7 IWAF-L-WI1,7,IWAF-L-WI1,31,2,2,122,intercrop,25,40,3.75,8.75,1,95,3,2,0,0,66,73.6
14 AVC9,14,AVC9,31,3,3,123,intercrop,29,25,4.25,8.5,1,100,5,2,5,1,60.8,80
23 UMN #4353,23,UMN #4353,31,4,4,124,intercrop,22,48,4.25,9,1.6,90,4,3,5,1,65.8,76.8
25 UMN #5555,25,UMN #5555,32,4,4,125,intercrop,19,28,4.25,7.75,1.6,95,3,3,0,0,69,76.2
1 IWAF-L-Base,1,IWAF-L-Base,32,3,3,126,intercrop,22,28,4,9.25,1,100,4,3,0,0,74,82.6
12 AVC7,12,AVC7,32,2,2,127,intercrop,23,32,4,9.25,1.2,100,4,3,5,1,72.4,76.6
10 AVC6,10,AVC6,32,1,1,128,intercrop,16,29,5.25,9.25,1,85,4,3,5,1,73.8,74.8
