LOC,YEAR,ENT,Entry,Row,Range,Block,Serpentine,treatment,Alfalfa winter survival,Spring Alfalfa stand count,Spring Alfalfa vigor,Spring Alfalfa maturity,Spring disease incidence,Spring disease severity,Spring Alfalfa height,Spring IWG height,Summer Alfalfa height,Summer Wheatgrass height,Summer Alfalfa maturity,Summer Alfalfa stand count,Lodging,Summer disease incidence,Summer disease severity,Summer Alfalfa Biomass wet (g),Summer Weed Biomass wet (g),Summer IWG Biomass wet (g),Summer Grain Biomass wet (g),Summer Alfalfa Biomass dry (g),Summer Weed Biomass dry (g),Summer IWG Biomass dry (g),Summer Grain Biomass dry (g) ,Summer Grain Threshed (g),Alfalfa summer post harvest stand count,Vigor post summer harvest,Fall Alfalfa Maturity,Fall Alfalfa Height,Fall IWG Height,Fall Alfalfa Biomass wet (g),Fall Alfalfa Biomass dry (g),Fall Weed Biomass wet (g),Fall Weed Biomass dry (g),Fall IWG Biomass wet (g),Fall IWG Biomass dry (g)
NY_MG2,2025,28,NY19-45,9,1,1,33,intercrop,1,100,2,3,15,1,65.6,80.4,52.6666667,103.333333,6,100,5,0,0,303,18,,,95.7,10.4,,,,100,4,5,46.6666667,23,395,93.75,0,0.15,,
NY_MG2,2025,23,UMN #4353,9,2,2,34,intercrop,1.2,95,1,3,10,1,66.4,75.2,51,118.333333,6,9,1,10,1,303,6,463,70,102.4,2.9,264.1,60,32.82,100,4,3,49.6666667,23.3333333,316,81.15,2,0.15,,
NY_MG2,2025,2,IWAF-H-Base,9,3,3,35,intercrop,1,100,1,3,5,1,64.4,73.4,48.3333333,95,6,100,6,0,0,140,18,270,29,48.1,15.9,139.2,24.2,13.62,100,3,3,43.6666667,21,198,55.35,3,0.75,,
NY_MG2,2025,5,IWAF-L-MN1,9,4,4,36,monoculture,1,90,4,2,15,2,65.8,61.4,43,45,7,9,4,5,1,147,93,,,65.5,27.5,,,,9,3,4,46.3333333,34.6666667,165,43.05,11,2.85,,
NY_MG2,2025,1,IWAF-L-Base,10,4,4,37,intercrop,1,100,5,3,20,1,72.2,69.8,47.3333333,235,7,100,1,15,1,317,16,,,105.8,5.1,,,,100,4,4,49,20,309,83.15,12,4.05,,
NY_MG2,2025,5,IWAF-L-MN1,10,3,3,38,intercrop,1.2,85,3,3,0,0,66.2,74.2,44.6666667,95,6,100,5,5,1,298,22,367,87,114.6,13.4,200.7,68.6,36.31,9,3,3,45,22.3333333,230,61.05,4,1.55,,
NY_MG2,2025,24,UMN #5553,10,2,2,39,intercrop,1.2,90,3,3,5,1,66.4,77,56.3333333,115,6,100,2,10,1,484,0,,,168.4,0,,,,100,5,5,53,21.3333333,398,99.55,2,0,,
NY_MG2,2025,14,AVC9,10,1,1,40,intercrop,1,100,5,3,5,1,78.6,77.8,65.6666667,120,6,100,2,0,0,1010,20,,,305.2,7.3,,,,100,5,5,65,22.6666667,675,164.55,9,2.15,,
NY_MG2,2025,29,NY1713,11,1,1,41,intercrop,1.2,100,5,2,5,1,66.8,77.6,50,218.333333,6,100,1,0,0,278,69,,,93.6,20.4,,,,100,5,4,58,26,498,119.55,4,0.85,,
NY_MG2,2025,6,IWAF-H-MN1,11,2,2,42,intercrop,1.2,95,4,2,0,0,69.4,75.8,50.3333333,211.666667,6,100,2,0,0,460,0,383,47,151.4,0,196.5,37.6,21.71,100,4,4,51,22,355,91.05,0,0,,
NY_MG2,2025,25,UMN #5555,11,3,3,43,intercrop,1.6,90,1,2,10,1,61.2,70.4,40.3333333,98.3333333,6,9,5,5,1,253,26,,,91.6,17.8,,,,8,3,3,43.3333333,23.3333333,308,84.95,0,0,,
NY_MG2,2025,9,AVC1,11,4,4,44,intercrop,1,100,5,3,10,1,66.2,71.6,48.6666667,123.333333,6,9,4,5,2,259,11,,,82.2,1.3,,,,100,3,3,42,23,292,80.55,3,0.35,,
NY_MG2,2025,3,IWAF-L-KS1,12,4,4,45,intercrop,1.2,100,5,3,20,1,68,67.8,48.6666667,121.666667,6,9,1,10,1,140,33,,,51.6,12.1,,,,9,3,4,44.3333333,18,344,94.05,1,0.55,,
NY_MG2,2025,23,UMN #4353,12,3,3,46,intercrop,1.4,90,4,2,15,1,66.6,76.4,43.6666667,103.333333,5,9,3,13,2,74,20,,,25.5,8.5,,,,9,2,3,41.3333333,24.6666667,203,56.35,7,2.75,,
NY_MG2,2025,25,UMN #5555,12,2,2,47,intercrop,1,95,4,3,0,0,66.8,76.6,54,98.3333333,6,100,6,0,0,253,13,,,83.9,9.6,,,,100,4,4,48.3333333,20.3333333,327,82.75,0,0.15,,
NY_MG2,2025,3,IWAF-L-KS1,12,1,1,48,monoculture,1,100,4,3,5,1,78,72.2,51.3333333,63.3333333,6,100,1,5,1,541,35,,,160.6,11,,,,100,5,4,68.6666667,45.6666667,578,135.45,5,0.45,,
NY_MG2,2025,24,UMN #5553,13,1,1,49,intercrop,1.2,100,5,3,20,2,72.2,76,48.3333333,120,7,9,2,10,1,405,12,,,128.4,6.3,,,,100,4,4,59,29,565,136.65,3,0.75,,
NY_MG2,2025,22,UMN #4352,13,2,2,50,intercrop,1.6,90,2,3,5,1,65.6,75.4,50.3333333,118.333333,6,9,4,5,1,179,22,,,63.8,5.6,,,,100,4,4,50.3333333,21.6666667,257,67.35,1,0,,
NY_MG2,2025,3,IWAF-L-KS1,13,3,3,51,monoculture,1,95,3,2,10,1,67.2,66.6,43.3333333,35.6666667,6,8,4,5,1,208,3,,,74.6,0.6,,,,100,3,4,49,42.6666667,198,54.15,20,5.75,,
NY_MG2,2025,26,UMN #5560,13,4,4,52,intercrop,1.4,95,2,3,20,1,72.2,67.6,46.3333333,115,6,100,4,15,1,130,32,,,42.9,11.3,,,,100,2,5,53.6666667,20.3333333,287,77.75,3,1.05,,
NY_MG2,2025,5,IWAF-L-MN1,14,4,4,53,intercrop,1,100,5,3,20,1,73.8,69.6,52.3333333,133.333333,8,9,1,0,0,399,15,,,141.8,8.3,,,,100,3,4,54.3333333,18.6666667,334,89.55,4,1.25,,
NY_MG2,2025,19,INTALF20,14,3,3,54,intercrop,1.6,90,3,2,0,0,68.2,73.8,48,113.333333,7,100,4,0,0,309,10,,,104.1,3.2,,,,100,4,3,46.6666667,19.6666667,322,92.35,6,1.95,79,22.15
NY_MG2,2025,2,IWAF-H-Base,14,2,2,55,intercrop,1.2,95,3,3,0,0,69.4,74,57,116.666667,6,9,7,0,0,270,1,,,99.1,2,,,,9,4,4,52,20,409,108.35,2,0.15,,
NY_MG2,2025,1,IWAF-L-Base,14,1,1,56,intercrop,1,100,4,3,5,1,74.6,77.8,52.3333333,123.333333,8,100,2,10,1,799,4,,,247.2,1.2,,,,100,5,5,57.6666667,23.3333333,608,157.35,0,0,,
NY_MG2,2025,20,Larry15,15,1,1,57,monoculture,1.2,95,3,2,0,0,74.2,68.6,46,57.3333333,6,100,2,0,0,643,47,,,236.1,16.7,,,,8,1,4,56.3333333,48,277,62.65,10,1.75,,
NY_MG2,2025,19,INTALF20,15,2,2,58,intercrop,1.2,100,2,3,0,0,68,76.2,69,125,6,100,1,0,0,162,10,,,52.9,4.9,,,,100,4,4,55.6666667,25.6666667,372,92.45,0,0,,
NY_MG2,2025,9,AVC1,15,3,3,59,intercrop,1,100,2,2,10,2,67,73.2,53,91.6666667,7,100,3,20,1,317,14,,,110.3,10.7,,,,100,4,4,46,21.3333333,226,66.55,2,0.75,,
NY_MG2,2025,27,UMN #5561,15,4,4,60,monoculture,1.4,95,1,3,20,1,65.6,66.4,49.6666667,55,6,100,0,10,1,170,89,,,58.9,26.3,,,,100,2,4,48,43,225,61.15,20,4.85,,
NY_MG2,2025,8,IWAF-H-WI1,16,4,4,61,monoculture,1,95,3,3,5,1,68.8,63.6,49.3333333,46.6666667,7,100,0,5,2,95,182,,,35.8,51.6,,,,9,2,3,49.6666667,41.6666667,173,46.25,20,4.15,,
NY_MG2,2025,3,IWAF-L-KS1,16,3,3,62,intercrop,1,95,2,2,0,0,67,76.8,43,73.3333333,6,8,5,15,2,166,0,,,76.4,0,,,,100,4,3,50.6666667,20.3333333,349,98.75,3,0.65,,
NY_MG2,2025,17,AVC5,16,2,2,63,intercrop,1,100,3,3,5,1,72,83.2,55.6666667,88.3333333,6,100,2,0,0,323,9,,,114.1,8.4,,,,100,5,4,56.6666667,20.3333333,492,122.15,0,0,,
NY_MG2,2025,8,IWAF-H-WI1,16,1,1,64,intercrop,1.2,95,4,3,10,1,76.2,78.2,54,101.666667,8,9,2,0,0,536,37,,,176,18.6,,,,100,5,4,57,20.6666667,530,132.15,0,0.35,,
NY_MG2,2025,25,UMN #5555,17,1,1,65,intercrop,1.4,90,2,3,5,1,69.4,74.6,51.6666667,113.333333,8,9,4,10,2,375,0,,,122,0,,,,9,3,4,47.3333333,19.3333333,310,84.25,4,1.25,,
NY_MG2,2025,8,IWAF-H-WI1,17,2,2,66,intercrop,1.2,100,2,2,0,0,66,77.6,53.6666667,65,6,100,7,0,0,96,3,,,32.9,2.4,,,,100,3,4,51,25.3333333,327,80.05,0,0,,
NY_MG2,2025,18,AVC14,17,3,3,67,intercrop,1.4,90,2,2,0,0,64.4,76.6,54.6666667,90,6,100,8,0,0,170,5,,,60.7,2,,,,100,3,4,43,23,249,71.75,9,2.45,,
NY_MG2,2025,20,Larry15,17,4,4,68,intercrop,1.2,90,1,2,5,1,68.4,75.4,50.6666667,138.333333,6,100,1,0,0,161,58,,,62,20.3,,,,8,1,5,26,22.6666667,321,85.25,2,0.45,,
NY_MG2,2025,14,AVC9,18,4,4,69,intercrop,1.2,100,4,3,0,0,73.4,74.4,44.3333333,125,6,100,2,0,0,89,45,,,28.1,19.6,,,,9,2,4,43.6666667,15.3333333,174,50.25,2,0.55,37,12.75
NY_MG2,2025,12,AVC7,18,3,3,70,intercrop,1.4,95,2,3,5,2,69.6,76,54.3333333,96.6666667,6,100,3,5,1,283,7,,,94.3,4.5,,,,100,4,5,47.3333333,22.3333333,198,57.05,0,0,,
NY_MG2,2025,14,AVC9,18,2,2,71,intercrop,1,95,2,2,0,0,69.2,79,60.6666667,98.3333333,6,100,5,15,1,299,26,,,97.6,14.8,,,,100,4,3,57.6666667,20,448,111.65,4,1.15,64,16.65
NY_MG2,2025,27,UMN #5561,18,1,1,72,intercrop,1,95,1,2,5,1,69,72,48,103.333333,6,100,4,5,1,447,54,,,143.3,30,,,,100,5,5,59.3333333,19,421,107.55,5,2.15,,
NY_MG2,2025,22,UMN #4352,19,1,1,73,intercrop,1.2,100,2,2,0,0,65.4,77,46,70,6,100,7,0,0,140,3,,,52.9,0.3,,,,100,4,4,57,19,305,82.75,6,2.35,57,17.95
NY_MG2,2025,26,UMN #5560,19,2,2,74,intercrop,1.2,95,2,3,5,1,61.6,79.8,48.3333333,200,8,9,7,10,1,171,43,,,52.2,21.2,,,,9,3,4,55.3333333,23.6666667,376,97.75,1,0.05,,
NY_MG2,2025,7,IWAF-L-WI1,19,3,3,75,intercrop,2,95,2,2,0,0,65.8,74.6,45.3333333,91.6666667,7,100,8,0,0,227,2,,,76.3,0.5,,,,9,3,4,42.3333333,22.3333333,356,94.85,0,0,,
NY_MG2,2025,2,IWAF-H-Base,19,4,4,76,intercrop,1,100,2,3,0,0,67,75.8,43.6666667,120,6,100,1,5,1,132,22,,,42.1,5.3,,,,100,2,4,40,20.6666667,246,66.05,0,0,,
NY_MG2,2025,15,AVC4,20,4,4,77,intercrop,1.2,100,3,3,0,0,71,73.6,46.3333333,118.333333,6,100,1,0,0,9,33,,,3.6,10.6,,,,8,2,4,24.6666667,18.3333333,209,58.65,5,0.95,,
NY_MG2,2025,20,Larry15,20,3,3,78,monoculture,1.4,90,1,2,0,0,62.2,56.6,45.6666667,46.6666667,6,9,6,0,0,204,24,,,76.4,8,,,,9,2,3,43,37.3333333,304,78.35,43,10.65,,
NY_MG2,2025,8,IWAF-H-WI1,20,2,2,79,monoculture,1.4,100,1,2,5,1,63.4,64,54.6666667,58.3333333,6,9,1,15,1,315,95,,,103.7,30.2,,,,100,3,4,52,39.3333333,280,66.65,9,1.85,,
NY_MG2,2025,23,UMN #4353,20,1,1,80,intercrop,1.2,95,3,2,5,1,69.2,72.6,66.6666667,126.666667,7,100,7,20,1,251,25,359,54,82.9,10.7,198.4,43.8,23.94,100,4,4,56,21.3333333,546,137.95,4,1.25,87,23.25
NY_MG2,2025,7,IWAF-L-WI1,21,1,1,81,intercrop,1,95,1,2,5,1,64.8,74,47,103.333333,8,100,5,10,5,265,11,,,85.3,7.8,,,,100,4,4,49,23.3333333,417,104.95,0,0,,
NY_MG2,2025,10,AVC6,21,2,2,82,intercrop,1,90,2,2,5,1,60.6,78.8,44.6666667,115,8,100,3,20,1,233,8,,,76.6,2.1,,,,9,3,4,51.6666667,25,252,65.15,9,2.05,,
NY_MG2,2025,16,AVC11,21,3,3,83,intercrop,1.4,100,1,2,0,0,62.4,78.8,46.6666667,131.666667,7,9,4,5,1,197,18,,,63,10.6,,,,100,3,5,46.6666667,25,245,66.15,2,0.45,,
NY_MG2,2025,13,AVC3,21,4,4,84,intercrop,1,95,4,3,0,0,73.2,77.4,47.3333333,120,8,9,5,0,0,109,7,,,34.4,3.6,,,,9,2,4,39.3333333,21.3333333,215,59.85,4,1.25,,
NY_MG2,2025,7,IWAF-L-WI1,22,4,4,85,intercrop,1.2,95,3,3,0,0,71.8,77,47.6666667,86.6666667,7,100,7,0,0,219,1,284,14,81.6,-0.2,144.5,10.4,5.65,9,2,3,38.3333333,15.3333333,426,83.75,6,3.45,,
NY_MG2,2025,20,Larry15,22,3,3,86,intercrop,2,90,1,2,0,0,63.6,79.8,51.3333333,80,6,9,7,0,0,295,5,,,107.4,4.7,,,,100,2,6,34.6666667,20.3333333,193,53.95,1,0.05,,
NY_MG2,2025,13,AVC3,22,2,2,87,intercrop,1,100,3,2,5,1,63,79.2,49,118.333333,7,100,6,0,0,339,0,,,115.8,0,,,,100,4,4,54.3333333,21.3333333,305,77.25,0,0,,
NY_MG2,2025,15,AVC4,22,1,1,88,intercrop,1,100,5,3,10,1,65.4,74.4,66.3333333,106.666667,6,100,5,5,1,288,19,325,42,87.6,7.2,166.5,31,14.23,100,5,5,60.6666667,18,416,103.75,1,1.15,,
NY_MG2,2025,2,IWAF-H-Base,23,1,1,89,intercrop,1,100,4,3,15,1,62.8,76.6,45.6666667,70,7,100,8,5,1,209,6,,,69.4,0.8,,,,9,3,5,52,19.3333333,275,72.45,0,0,,
NY_MG2,2025,3,IWAF-L-KS1,23,2,2,90,intercrop,1,100,4,3,15,1,65.6,81.4,46,101.666667,6,100,8,5,1,119,15,,,36.4,8.8,,,,100,4,5,58.3333333,21.6666667,285,72.75,0,0.15,,
NY_MG2,2025,15,AVC4,23,3,3,91,intercrop,1.8,95,2,2,0,0,61.8,76.6,49.3333333,71.6666667,6,9,7,5,1,138,2,,,43.1,0.3,,,,100,3,5,52.3333333,22.3333333,246,67.15,11,3.45,,
NY_MG2,2025,10,AVC6,23,4,4,92,intercrop,1.2,85,2,2,0,0,62,77.4,42.3333333,90,8,9,2,0,0,114,21,,,37.2,8.1,,,,9,1,4,40,23.3333333,176,50.95,30,9.25,,
NY_MG2,2025,18,AVC14,24,4,4,93,intercrop,1.2,100,4,3,0,0,71.4,78.8,50.6666667,111.666667,8,100,1,0,0,56,12,,,22.3,3.1,,,,100,2,3,35.3333333,17.6666667,246,67.55,7,0,,
NY_MG2,2025,17,AVC5,24,3,3,94,intercrop,1.4,100,1,2,5,1,67.2,74,54,93.3333333,6,100,8,0,0,151,1,,,54.5,0.2,,,,100,3,4,47.6666667,20.3333333,312,81.35,0,0,,
NY_MG2,2025,28,NY19-45,24,2,2,95,intercrop,1.2,100,4,2,5,2,62.4,76.8,52.3333333,90,8,100,8,0,0,202,5,,,74.6,7.7,,,,100,3,4,45.6666667,21.6666667,174,45.35,0,0,,
NY_MG2,2025,21,IAFAL-C3,24,1,1,96,intercrop,1.6,95,1,2,0,0,63.2,76.4,50.3333333,118.333333,6,100,7,0,0,632,20,,,204.8,7.2,,,,100,1,2,20.6666667,17.3333333,191,46.15,0,0,,
NY_MG2,2025,19,INTALF20,25,1,1,97,intercrop,1,95,4,3,5,1,69,75,55.3333333,88.3333333,7,100,7,0,0,288,49,239,65,97.9,19,222.3,51.2,15.89,100,4,5,54,24.3333333,476,118.15,0,0,,
NY_MG2,2025,18,AVC14,25,2,2,98,intercrop,1,100,4,3,5,1,66.6,78.6,53.3333333,101.666667,6,100,6,0,0,280,0,,,87.5,0,,,,100,4,4,52.3333333,20.6666667,383,94.75,2,0.45,,
NY_MG2,2025,6,IWAF-H-MN1,25,3,3,99,intercrop,1.2,100,3,2,5,2,62.4,77,54.3333333,76.6666667,7,100,6,0,0,209,12,244,17,67.2,9.8,134.3,13.8,6.43,100,3,5,49.6666667,24.6666667,380,97.15,6,1.35,126,42.45
NY_MG2,2025,17,AVC5,25,4,4,100,intercrop,1.2,95,3,3,5,1,64.6,71.2,50.3333333,121.666667,6,100,4,0,0,35,26,238,35,14.6,6.1,134.3,28.2,15.24,9,2,3,35.6666667,19.3333333,241,67.95,5,0.75,,
NY_MG2,2025,26,UMN #5560,26,4,4,101,monoculture,1.2,100,3,3,0,0,73.2,61.6,45.6666667,49.6666667,6,100,1,0,0,97,64,,,32.8,14.9,,,,9,3,6,57.6666667,49.3333333,250,64.45,24,7.15,,
NY_MG2,2025,22,UMN #4352,26,3,3,102,intercrop,1.6,90,2,2,5,1,68.4,80.2,57.3333333,80,6,100,8,0,0,319,2,,,105,0.3,,,,9,3,4,52.6666667,22.6666667,468,117.55,3,0.75,,
NY_MG2,2025,15,AVC4,26,2,2,103,intercrop,1,100,3,2,0,0,67.4,79.8,60.3333333,75,6,100,8,0,0,386,10,,,121.2,4.8,,,,100,4,5,57,19.6666667,511,124.35,5,1.15,,
NY_MG2,2025,3,IWAF-L-KS1,26,1,1,104,intercrop,1,100,5,2,0,0,72.2,78.6,65,111.666667,6,100,7,0,0,760,18,,,244.2,9,,,,100,5,5,68.3333333,22,604,148.35,2,0.45,,
NY_MG2,2025,13,AVC3,27,1,1,105,intercrop,1,95,4,3,10,1,70,77.4,62,71.6666667,7,100,7,0,0,396,8,,,124.7,5.9,,,,100,5,6,65,24.6666667,475,118.35,0,0,,
NY_MG2,2025,1,IWAF-L-Base,27,2,2,106,intercrop,1,100,2,2,5,1,64,78,44,73.3333333,6,100,7,5,1,282,41,,,88.8,30.1,,,,100,3,5,52.6666667,24.6666667,233,60.25,6,2.05,,
NY_MG2,2025,11,AVC2,27,3,3,107,intercrop,1.2,95,2,3,0,0,70,75.4,47,53.3333333,6,100,8,5,1,399,0,,,118.4,0,,,,100,4,4,52.6666667,26,231,62.65,2,0.75,,
NY_MG2,2025,16,AVC11,27,4,4,108,intercrop,1.2,90,2,2,0,0,64.8,73.2,44.6666667,118.333333,6,9,1,0,0,41,44,,,13.4,21.7,,,,9,1,2,27.3333333,20,157,44.35,7,2.55,93,29.15
NY_MG2,2025,28,NY19-45,28,4,4,109,intercrop,1.6,95,2,2,5,1,61.4,65.8,47.6666667,111.666667,8,100,3,0,0,190,31,310,41,69.9,14.4,176.8,33.6,17.47,100,2,3,30.6666667,14.6666667,104,30.25,5,1.35,18,5.75
