LOC,YEAR,ENT,Entry,Block,Row,Serpentine,treatment,Alfalfa Stand Count,IWG Stand Count,Alfalfa Height 1,Alfalfa Height 2,Alfalfa Height 3,Alfalfa Height 4,Alfalfa_Height_avg,IWG Height 1,IWG Height 2,IWG Height 3,IWG Height 4,IWG_Height_avg,Alfalfa Stand Count (% of the max count),IWG Stand Count (% of the max count),,
NY_MG2,2024,5,IWAF-L-MN1,1,31,121,intercrop,20,54,7,4,6,5,5.5,7,7,9,10,8.25,117.6470588,84.375,118,80
NY_MG2,2024,7,IWAF-L-WI1,2,31,122,intercrop,25,40,3,4,3,5,3.75,10,7,10,8,8.75,147.0588235,62.5,147,60
NY_MG2,2024,14,AVC9,3,31,123,intercrop,29,25,4,4,5,4,4.25,9,9,7,9,8.5,170.5882353,39.0625,171,40
NY_MG2,2024,23,UMN #4353,4,31,124,intercrop,22,48,5,4,5,3,4.25,8,9,10,9,9,129.4117647,75,129,80
NY_MG2,2024,25,UMN #5555,4,32,125,intercrop,19,28,4,4,4,5,4.25,6,7,9,9,7.75,111.7647059,43.75,112,40
NY_MG2,2024,1,IWAF-L-Base,3,32,126,intercrop,22,28,4,3,4,5,4,10,10,8,9,9.25,110,43.75,110,40
NY_MG2,2024,12,AVC7,2,32,127,intercrop,23,32,5,5,4,2,4,9,9,9,10,9.25,135.2941176,50,135,50
NY_MG2,2024,10,AVC6,1,32,128,intercrop,16,29,5,4,7,5,5.25,10,9,9,9,9.25,94.11764706,45.3125,94,50
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,43,60,,,,,,,,,,,,,,
,,,,,,,,22.6328125,38.03125,,,,,,,,,,,,,,
,,,,,,,,20,39,,,,,,,,,,,,,,
,,,,,,,,26,45,,,,,,,,,,,,,,
